line,station_name,abbr,coord,borough,actual_line
1,South Ferry,SF,"40.702035126462086, -74.01338933959607",Manhattan,1
1,WTC Cortlandt,WTC,"40.71172162943666, -74.01216501707735",Manhattan,1
23,Wall Street,WS,"40.706411775770576, -74.00954042024087",Manhattan,23
45,Bowling Green,BG,"40.70452514644334, -74.014246193978",Manhattan,45
456,"14 St-Union Sq (4, 5, 6)",14,"40.7346961945905, -73.98994970143536",Manhattan,456
456,"Grand Central-42 St (4, 5, 6)",42,"40.75247270575874, -73.97750945885295",Manhattan,456
7,34 St-Hudson Yards (7),34,"40.75495342441736, -74.00102666201745",Manhattan,7
7,Grand Central-42 St,42,"40.75143383443024, -73.97604928640995",Manhattan,7
S,Times Sq-42 St (S),42,"40.755810396158296, -73.98639517744517",Manhattan,S
F,Times Sq-42 St (S),42,"40.75419068476346, -73.98455948046235",Manhattan,BDFM
NR,59 St,59,"40.76488959664761, -73.97298127609021",Manhattan,NRW
FQ,"Lexington Av/63 St (Q, F)",63,"40.76441114266673, -73.96560581215329",Manhattan,FNQR
FQ,72 St,72,"40.7678313491772, -73.95913882641942",Manhattan,NQR
FQ,86 St,86,"40.77791548673041, -73.95178563300072",Manhattan,NQR
FQ,96 St,96,"40.78358081879833, -73.94758120082415",Manhattan,NQ
BD,161 St-Yankee Stadium,161,"40.82785561065496, -73.92583539261483",Bronx,BD
BD,167 St,167,"40.83380528421409, -73.9183915366123",Bronx,BD
BD,170 St,170,"40.83879322487325, -73.91378372189108",Bronx,BD
BD,174-175 Sts,174,"40.84588341965019, -73.91013209557173",Bronx,BD
BD,Tremont Av.,TA,"40.85034327275229, -73.90529892611026",Bronx,BD
BD,182-183 Sts,182,"40.85599320182681, -73.90083517892576",Bronx,BD
BD,Fordham Rd.,FR,"40.86135996670819, -73.8977400861407",Bronx,BD
BD,Kingsbridge Rd.,KR,"40.86642794982864, -73.8940503228558",Bronx,BD
BD,Bedford Park Blvd.,BPB,"40.87325833589862, -73.88714926671977",Bronx,BD
BD,Norwood- 205 St,205,"40.87493961569964, -73.87832662538611",Bronx,D
EFMR,Court Sq-23 St,23,"40.747851627204916, -73.94596142833669",Queens,EM
EFMR,Queens Plaza,QP,"40.749010592184305, -73.93717291582412",Queens,EMR
EFMR,Jackson Hts -Roosevelt Av,JH,"40.74672402420594, -73.89100355089504",Queens,EFMR
EFMR,Forest Hills-71 Av,71,"40.72164170528295, -73.8445673183729",Queens,EFMR
EFMR,Kew Gardens-Union Tpke,KG,"40.71416526875474, -73.83113832020393",Queens,EF
EFMR,Jamaica-Van Wyck,VW,"40.702450931647626, -73.81662545970116",Queens,E
EFMR,Sutphin Blvd-Archer Av-JFK,JFK,"40.700815393669224, -73.80793598408017",Queens,EJZ
EFMR,Jamaica Center-Parsons/Archer,JC,"40.70219780966719, -73.80067731188491",Queens,EJZ
DNR,Atlantic Av-Barclays Center,AA,"40.68467774544496, -73.97790527582318",Brooklyn,DNRW
R,Union St,US,"40.67714591220821, -73.98327787848646",Brooklyn,DNRW
R,4 Av 9 St,4A9S,"40.6699253275857, -73.989073230521",Brooklyn,DNRW
R,Prospect Avenue,PA,"40.6652157896136, -73.99304604459266",Brooklyn,DNRW
R,25 St,25,"40.660452066437905, -73.99815726098525",Brooklyn,DNRW
DNR,36 St,36,"40.65449830213834, -74.00425441203228",Brooklyn,DNR
R,36 St,36,"40.65451795224771, -74.00426948753879",Brooklyn,DNRW
R,45 St,45,"40.64941729960864, -74.00976540443897",Brooklyn,R
R,53 St,53,"40.645116606388136, -74.01401541731943",Brooklyn,NRW
R,Bay Ridge Av,BRA,"40.63495863179025, -74.02339189113597",Brooklyn,R
R,77 St,77,"40.629911413027784, -74.02553880145747",Brooklyn,R
R,86 St,86,"40.622759968382354, -74.02831429412062",Brooklyn,R
R,Bay Ridge 95 ST,95,"40.61672215745872, -74.03087982684967",Brooklyn,R
